Emotion,Text
positive,"_Laurie sending love, blessings & healing thoughts to you & family  peace"
negative,My back hurts...really bad
neutral," ah yes, I know that feeling"
neutral,Night of the cookers with my dad
negative,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal
neutral, Nope I am in Coquitlam
negative, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol
positive,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!
neutral,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.
positive,Few Bevvies 2day in twn..great on a day off!!
positive,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!
positive, good morning
positive, its the best show EVER!
negative,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES
neutral,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .
neutral, I want to know when the auditions are Mander! Text or...reply please!
negative,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE
negative, I miss my neice  can`t wait to see her bad n grown ****! Lol
neutral,i need to get my computer fixed
negative,really hopes her car`s illness is not terminal...
neutral,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet."
neutral, no sir...i woulda put honey...but i don`t have any
positive,who watched X-men origins: wolverine? i totally loved it! haha
positive, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x
negative, I`m sad that I missed you guys last night!
neutral,Finally got a call for marriage counseling 3 days late....
neutral, ok then
neutral,_420 why baby?
negative,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats
neutral,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in
negative,lost my tooth 2day whilst i was eating gum...oww
positive,happy 1 year! <3
positive,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol"
neutral, *phew*  Will make a note in case anyone else runs into the same issueï¿½
negative,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!
negative,I`m starving!! This diet is killing me but I can`t eat after 8pm
neutral, i talk to you
negative,im soo bored...im deffo missing my music channels
positive, nite nite bday girl  have fun at concert
neutral,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
neutral,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!
negative,should be sleeping.  lost my voice a couple day ago.
negative,http://twitpic.com/66xlm -  hate when my PARKED car gets hit
neutral, I`ve heard this fall. I`m waiting too!
neutral, more nightmares?  *huggles*
negative,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.
negative,going to bed its late and I have headache
positive,happy mother`s day to all moms out there...
neutral,Grabbing coffee from  then making mom breakfast
positive,im thinking that im going to have fun tonight....and maybe some changes are coming
neutral, thanks. before the major chop.
positive," Haha I know, I cant handle the fame!  and thank you!"
neutral,just got up and updated my ipod
neutral, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!
positive, We never miss ICarly - my son has a huge crush on Miranda
positive,Saw James carville in the store today. His head is really that bald
neutral,yellow for   ? http://blip.fm/~5z05g
neutral, which means you`re just going to have to come back to vancouver and have it our way! hahah
positive,Feeling smooth like chrome
neutral,Ew traffic
neutral,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol"
neutral,@_Ra_Ra_ your not alone...i need coffee too.
negative, Sounds like me
neutral,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...
negative,Walking to class. I hate not having a bike....especially mine.
neutral,_nesmith
neutral,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes."
positive,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,"
positive,happy mother`s day to all the mothers in the world.
positive,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc"
positive,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!
negative,The exception for a short dude: Larenz fineass Tate yum
positive,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking."
positive,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon."
neutral, Yes i work 6 to 3...
neutral," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is"
neutral,Done at the spa   now meeting vic for some late lunch!
neutral,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!
neutral, Always have wanted to go to Oz
neutral, Thx
positive, http://twitpic.com/4jaz5 - Cool... luv it
positive,  that`s why I need to be there...To represent the Blackberries
positive,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!
neutral, If only we could ever actually be allowed to stay here and do that
neutral, Let me know how that turns out!!
neutral, was that sass I detect?  As long as it isn`t back sass! Haha
neutral," yeah I was thinking about that ,ahaha"
neutral, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho
negative,I`m not sleeping at all until  accepts my appology
negative,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??"
positive," I live for pain, bring it on"
neutral,"okay, i`m out for a while  back later!"
neutral,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower
positive,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults
positive,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time
negative,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??"
neutral,going to shower because i don`t want to smell at school tomorrow
neutral, Sigh... you know I am...
neutral,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow"
neutral,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/
neutral,just got home from work.... and is chugging down a big bottle of apple juice.
negative, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed
positive,writing report cards  soooo tired but what an amazing day. check it out on fb soon!
positive, it was only once for my big brother...and I`m done now
neutral,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn
positive,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning"
neutral,FTSK and Mercy Mercedes were amazing tonight.. as always
positive,  hope he is ok!
positive,can`t school just be done already? it hurts too much... seeing him every day
neutral,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?"
neutral, Hell Yeah!
positive, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?
neutral, i know!!
neutral, huh what the ****? Smelly? Noooo. I love alex Vixon
positive,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara"
positive," Happy b-day! Just woke up on this side of Earth, so wishes are bit late"
positive,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD"
positive,HAPPY MOTHERS DAY.!
positive," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?"
positive,  Thanks
neutral,twittering after 2 days!
neutral,Getting ready for week  Its too nice today to be stuck inside working!
neutral,I am tres depressed
negative,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick."
positive,Happy Mothers Day people. i love my mom a lot still
negative, I`m sorry to hear that.
positive," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly."
positive," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!"
negative,Is getting the hang of Twitter.
negative,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...
neutral,I want it BACK NOW!: http://bit.ly/PP1WZ
neutral,Going to miss my roomie ... We will no longer be roomies starting tomorrow
neutral,"bathing with two little angels, Keyla and Janice."
negative," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe"
negative, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is
neutral,"Family is here,hanging with them"
positive,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!
neutral, what`s goin on hun?  I`m worried about you
negative, Im not bannished... but I am at work till 6
negative," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine."
neutral," red top tabloids, build em up, knock em down"
neutral,tonight in party w/ my girls (minus vita)
neutral,  why not now you made me sad I thought you`d be jumping for joy
neutral, Simple my a#@
neutral,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
positive," I saw the play of it here, it was amazing"
positive, _ i am glad to break my twitter virginity with you two.
negative,Dinner with the fam... I have missed them
positive,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn."
neutral,Hell yeah Kellynn got a Twitter. Finally.
neutral," I know   It was worth a shot, though!"
positive,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better"
negative,Ship. I`m stuck.
positive,DUSTBIN BABY ON AT 11.30 Cannot wait  x
negative," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x"
positive,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters
neutral,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.
negative,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.
positive,today is a busy day. exhausting!
neutral,Got the CofO to late didn`t close today   Will close Monday....back out to meet a buyer tonight to show a few homes to
neutral,Aww man I left all my laffy taffy`s at work
neutral,is way too sleepy to be awake
neutral,Hello Twitters
neutral,Finally at home. Who decides it`s time for more work at 17:10 on the Friday of a long weekend... apparently my client.
neutral,Ed is awake! But Andy doesn`t feel so hot so she`s still sleeping.
neutral,Wrong button  ... My music biz building that is.
neutral,Drinking tea and eating choc chip cookies. Going to head to sleep soon! Night all
neutral,"spent the whole day editing in Pro Tools...i luvvv this thing and am becoming quite the pro, but it gives me insane headaches."
neutral, The creeping charlie is what happens when I neglect the yard for the whole spring!  Thanks- &  would LOVE to see yr dogs!
neutral,Running around town with Kathleen....she`s leaving me for a month..
neutral,at work and tired just want to go to bed
neutral,"ohh. i didnt double tweet a while ago, did i? now i did."
neutral,":O Looking through my old stuff and found a record from my old band! Well,a band that I was in for about a month. Ever heard of  ?"
neutral,SoCal!  stoked. or maybe not.. tomorrow
neutral,wants to increased my karma ~  http://plurk.com/p/suiva
neutral, i don`t have texting.....
neutral," LOL, yeah I do it cuz it just seems that way sometimes don`****"
neutral,you know what`s today? no? it`s the Star Wars day you ****!
neutral,right guys i have to go
neutral," No offense, but have you thought about a career change?"
neutral," Can`t go out this weekend, 12 hours of exams next week prevent it  Got my uni summerball next Sat though, should be good!"
neutral, naisee. is it bad that i can see lens flares all arond me while listening to it? XD cant really catch what they`re saying tho
neutral,"is up, slightly later than planned... gunna get this essay done 2day!!"
neutral, amen to that brotha!
neutral, company policy. Has been for the last two places I`ve worked at
neutral,Eating.
neutral,Haha i bet a man did make heels! Im sorry you hurt though.  I hope you feel better!  ~Livelovesing~
neutral,Omg they know so many words now where did the time go  here`s some of there words money ball keys.
neutral,Just got home from dinner with my mommy and my new grandma. I`d rather be in Hollywood right now
neutral,@_Cheshire_Cat_
neutral," classics are timeless...dont believe me, check youtube, google, etc. Numbers dont lie & i actually performed it last night,"
neutral,off to work now
positive, OH THAT`S GOOD! My top 4 are: The Haunted House/Sound one; Bakery; Inside Ralphie`s body; & ..... I FORGET!!
neutral, You almost have as many viewers as the Live Eagle Cam on Ustream  http://tinyurl.com/d4hgoj
neutral," A couple of other guys did similar mods, so it may not have been mine that  saw. I think mine`s the best, but I`m biased"
neutral, ME
neutral,"_xo hey hey, ur following me  ur gna relise that i tweet ALOT!! haha more than a normal person wud but im not normal"
neutral,_in_Forks ::static:: I know! I`ve barely seen anyone since I got into Paris yesterday.  I`ve just been walking around.  ::static::
neutral,Is watching the final Underbelly
positive, lol well i learned somethin new  thx !
neutral,: re 'pot meet kettle' not so sure of that equation.
neutral," sweetie pie, buttercup, married ppl share hehehehehe.....this includes ur shoe collection  I am trading UP!"
positive," I`m glad for you  I`m fine, thanks. Just another night full of M"
positive,its Monday and all is good
neutral, wooohooo! I`m fourth row back
positive,made this for you when i got home from wango tango http://bit.ly/1UjzQ    what a wonderful day.
neutral,Trying to figure out how this works  ... BOO
neutral,collage. what is feminism?
neutral,at school right now
neutral,it`s midnight.
neutral," hahaha this is super late, but thank you!!"
positive, good morning...did you break 5 digits yet?
positive,It feels like its nine and not one. Guess what? I love making money
neutral,  lol he does love spahkly gold things....
neutral,"Lobster dinner with MBA folks tonight, but no terasse, pouring rain in Mtl..."
neutral,My wiki project is going to have to wait another month  But manager thinks I need loads of time to prepare + has halved my workload
neutral, always
positive," i`ll take a lookie, sound great"
neutral,     Soooooooo What Happened To Power ForReal?
neutral," yeah, I also had to do a paper.. I only have one more final left: algebra.. & I take it on my birthday!!   (june 3)"
neutral,  It should take you back to colorado where you belong
positive, hope the studyin went well
neutral," yep, itï¿½s Mothers Day here as well but me and my family ignore it!  weï¿½re celebrating it EVERY day ... LOL"
neutral,Watching 'Hairspray'
neutral," It`s good they`re realistic, but I still don`t like thinking about it!!!"
neutral, so glad i did not say hi to last night... i dont want the flu... but sry if you really do have it
neutral, No flame wars on this weeks episode?
neutral,"feels the same way about cherry-flavored items as Shannt does about grapes. Strange, but true."
neutral,"I mean i`m tired, and sooooo freakin in love with my ."
positive, just need to know what to be cautious about.  being cautious is good.
neutral,"Hmmm go to sleep because i have to be up at 6 on a saturday  for work, or watch 2 more episodes of one tree hill? one tree hill i think!"
negative,Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight
neutral, _defcon1 I gather you guys continued the drinking after I left?
neutral,hanging out in myrtle beach as a married man
positive,@_Bella_Cullen13  _Cullen26  _Cullen10  These are my family girls  love u guys *smiles*
positive," Not really, injured so can`t do much exercise. The KG`s are coming on already. Also still looking to rent some place!!  Fun times!"
neutral,. Haha. Rite. Im freeeeeeee. Britneys spears listenin time.
positive,Listening to Miley Cyrus Breakout CD ! love it!
positive,_Jo my mask is non-existent at the mo  Charis didn`t send me one & I haven`t been bothered to make one! I`m wearing boy clothes!
positive," Thanks, Wookie-man.  I test stuff out on you. lol"
positive," Katie is my Malamute dog, as for my weight, well I`m about 6ft tall and 73kg, which is quite good"
positive,Happy Mother`s Day to the tweetin` mamas  Nite tweeple!
positive,: and my kid is only 3 and is stronger then me
positive,good morning!  i hope you all have a good day today!! although its a monday... be positive! ;)
positive, really was the best night ever
positive, thanks I`ll check it out! i`ll be staying a Thursday night though
positive, morning David have a safe journey and enjoy your time in the states  ****
positive, http://twitpic.com/4hbs5 - ahahahahahahahaha can i please eat that off your head  ****
positive,Bwahah I love the jackass movies!  I have chocolateeee!
positive,happy mother`s to all the moms out there..
